Time,Setpoint,Measurement,Output,Error,DeltaOutput
4.220,10.000,6.257,9.083,3.743,-1.677
4.230,10.000,6.216,10.622,3.784,1.538
4.240,10.000,6.250,9.873,3.750,-0.749
4.250,10.000,6.254,10.193,3.746,0.321
4.260,10.000,6.355,9.162,3.645,-1.032
4.270,10.000,6.341,10.340,3.659,1.178
4.280,10.000,6.346,10.187,3.654,-0.153
4.290,10.000,6.392,9.751,3.608,-0.435
4.300,10.000,6.445,9.660,3.555,-0.091
4.310,10.000,6.456,10.099,3.544,0.438
4.320,10.000,6.530,9.424,3.470,-0.674
4.330,10.000,6.569,9.758,3.431,0.334
4.340,10.000,6.536,10.546,3.464,0.787
4.350,10.000,6.584,9.706,3.416,-0.840
4.360,10.000,6.617,9.848,3.383,0.142
4.370,10.000,6.623,10.147,3.377,0.298
4.380,10.000,6.649,9.944,3.351,-0.203
4.390,10.000,6.683,9.861,3.317,-0.082
4.400,10.000,6.694,10.106,3.306,0.244
4.410,10.000,6.712,10.046,3.288,-0.059
4.420,10.000,6.797,9.309,3.203,-0.737
4.430,10.000,6.768,10.505,3.232,1.196
4.440,10.000,6.819,9.688,3.181,-0.817
4.450,10.000,6.847,9.907,3.153,0.219
4.460,10.000,6.907,9.549,3.093,-0.357
4.470,10.000,6.871,10.584,3.129,1.035
4.480,10.000,6.940,9.475,3.060,-1.109
4.490,10.000,6.936,10.243,3.064,0.768
4.500,10.000,6.976,9.784,3.024,-0.459
4.510,10.000,7.006,9.877,2.994,0.093
4.520,10.000,7.025,9.987,2.975,0.111
4.530,10.000,7.036,10.090,2.964,0.103
4.540,10.000,7.103,9.477,2.897,-0.614
4.550,10.000,7.121,9.976,2.879,0.499
4.560,10.000,7.108,10.328,2.892,0.352
4.570,10.000,7.147,9.785,2.853,-0.543
4.580,10.000,7.130,10.387,2.870,0.602
4.590,10.000,7.192,9.547,2.808,-0.840
4.600,10.000,7.244,9.634,2.756,0.087
4.610,10.000,7.252,10.078,2.748,0.444
4.620,10.000,7.298,9.678,2.702,-0.400
4.630,10.000,7.295,10.189,2.705,0.511
4.640,10.000,7.321,9.893,2.679,-0.297
4.650,10.000,7.306,10.343,2.694,0.451
4.660,10.000,7.325,10.009,2.675,-0.335
4.670,10.000,7.358,9.853,2.642,-0.156
4.680,10.000,7.422,9.499,2.578,-0.354
4.690,10.000,7.434,10.032,2.566,0.533
4.700,10.000,7.474,9.727,2.526,-0.305
4.710,10.000,7.422,10.721,2.578,0.994
4.720,10.000,7.531,9.019,2.469,-1.701
4.730,10.000,7.524,10.214,2.476,1.195
4.740,10.000,7.523,10.160,2.477,-0.054
4.750,10.000,7.550,9.883,2.450,-0.278
4.760,10.000,7.552,10.154,2.448,0.272
4.770,10.000,7.586,9.811,2.414,-0.343
4.780,10.000,7.651,9.463,2.349,-0.349
4.790,10.000,7.590,10.797,2.410,1.335
4.800,10.000,7.701,8.983,2.299,-1.814
4.810,10.000,7.674,10.417,2.326,1.433
4.820,10.000,7.725,9.602,2.275,-0.815
4.830,10.000,7.724,10.140,2.276,0.538
4.840,10.000,7.788,9.434,2.212,-0.706
4.850,10.000,7.775,10.247,2.225,0.813
4.860,10.000,7.774,10.143,2.226,-0.104
4.870,10.000,7.800,9.858,2.200,-0.286
4.880,10.000,7.802,10.124,2.198,0.266
4.890,10.000,7.860,9.522,2.140,-0.602
4.900,10.000,7.818,10.569,2.182,1.048
4.910,10.000,7.854,9.785,2.146,-0.784
4.920,10.000,7.896,9.696,2.104,-0.089
4.930,10.000,7.877,10.340,2.123,0.644
4.940,10.000,7.986,8.967,2.014,-1.373
4.950,10.000,7.924,10.754,2.076,1.787
4.960,10.000,7.973,9.611,2.027,-1.143
4.970,10.000,7.970,10.146,2.030,0.535
4.980,10.000,8.025,9.536,1.975,-0.610
4.990,10.000,8.008,10.282,1.992,0.746
5.000,10.000,8.101,9.107,1.899,-1.174
5.010,10.000,8.067,10.436,1.933,1.328
5.020,10.000,8.082,9.934,1.918,-0.502
5.030,10.000,8.155,9.301,1.845,-0.633
5.040,10.000,8.097,10.684,1.903,1.383
5.050,10.000,8.189,9.098,1.811,-1.586
5.060,10.000,8.160,10.358,1.840,1.259
5.070,10.000,8.188,9.776,1.812,-0.582
5.080,10.000,8.186,10.090,1.814,0.314
5.090,10.000,8.207,9.860,1.793,-0.229
5.100,10.000,8.252,9.583,1.748,-0.278
5.110,10.000,8.233,10.253,1.767,0.670
5.120,10.000,8.312,9.221,1.688,-1.032
5.130,10.000,8.279,10.372,1.721,1.151
5.140,10.000,8.345,9.340,1.655,-1.032
5.150,10.000,8.360,9.845,1.640,0.505
5.160,10.000,8.399,9.569,1.601,-0.276
5.170,10.000,8.336,10.677,1.664,1.108
5.180,10.000,8.363,9.757,1.637,-0.920
5.190,10.000,8.384,9.818,1.616,0.061
5.200,10.000,8.458,9.221,1.542,-0.598
5.210,10.000,8.417,10.422,1.583,1.202
5.220,10.000,8.452,9.637,1.548,-0.786
5.230,10.000,8.448,10.057,1.552,0.420
5.240,10.000,8.474,9.731,1.526,-0.325
5.250,10.000,8.491,9.813,1.509,0.081
5.260,10.000,8.511,9.780,1.489,-0.033
5.270,10.000,8.560,9.455,1.440,-0.325
5.280,10.000,8.556,10.004,1.444,0.549
5.290,10.000,8.611,9.368,1.389,-0.636
5.300,10.000,8.623,9.791,1.377,0.423
5.310,10.000,8.592,10.268,1.408,0.478
5.320,10.000,8.599,9.891,1.401,-0.377
5.330,10.000,8.607,9.880,1.393,-0.011
5.340,10.000,8.630,9.724,1.370,-0.156
5.350,10.000,8.660,9.632,1.340,-0.092
5.360,10.000,8.636,10.210,1.364,0.578
5.370,10.000,8.718,9.078,1.282,-1.132
5.380,10.000,8.750,9.547,1.250,0.469
5.390,10.000,8.706,10.373,1.294,0.826
5.400,10.000,8.689,10.120,1.311,-0.254
