Time,Setpoint,Measurement,Output,Error
4.410,10.000,9.262,7.383,0.738
4.420,10.000,9.176,8.240,0.824
4.430,10.000,9.239,7.606,0.761
4.440,10.000,9.218,7.824,0.782
4.450,10.000,9.193,8.069,0.807
4.460,10.000,9.244,7.560,0.756
4.470,10.000,9.251,7.495,0.749
4.480,10.000,9.193,8.069,0.807
4.490,10.000,9.253,7.466,0.747
4.500,10.000,9.206,7.941,0.794
4.510,10.000,9.255,7.455,0.745
4.520,10.000,9.242,7.581,0.758
4.530,10.000,9.199,8.005,0.801
4.540,10.000,9.196,8.039,0.804
4.550,10.000,9.255,7.449,0.745
4.560,10.000,9.207,7.935,0.793
4.570,10.000,9.254,7.458,0.746
4.580,10.000,9.228,7.723,0.772
4.590,10.000,9.187,8.132,0.813
4.600,10.000,9.237,7.632,0.763
4.610,10.000,9.207,7.931,0.793
4.620,10.000,9.196,8.036,0.804
4.630,10.000,9.282,7.175,0.718
4.640,10.000,9.205,7.953,0.795
4.650,10.000,9.210,7.897,0.790
4.660,10.000,9.266,7.342,0.734
4.670,10.000,9.200,8.000,0.800
4.680,10.000,9.244,7.560,0.756
4.690,10.000,9.225,7.753,0.775
4.700,10.000,9.264,7.355,0.736
4.710,10.000,9.228,7.720,0.772
4.720,10.000,9.210,7.897,0.790
4.730,10.000,9.267,7.330,0.733
4.740,10.000,9.190,8.095,0.810
4.750,10.000,9.254,7.463,0.746
4.760,10.000,9.283,7.175,0.717
4.770,10.000,9.254,7.463,0.746
4.780,10.000,9.220,7.795,0.780
4.790,10.000,9.195,8.049,0.805
4.800,10.000,9.229,7.705,0.771
4.810,10.000,9.252,7.484,0.748
4.820,10.000,9.271,7.286,0.729
4.830,10.000,9.190,8.100,0.810
4.840,10.000,9.273,7.273,0.727
4.850,10.000,9.186,8.140,0.814
4.860,10.000,9.267,7.333,0.733
4.870,10.000,9.198,8.024,0.802
4.880,10.000,9.262,7.384,0.738
4.890,10.000,9.213,7.873,0.787
4.900,10.000,9.206,7.942,0.794
4.910,10.000,9.217,7.833,0.783
4.920,10.000,9.241,7.591,0.759
4.930,10.000,9.220,7.796,0.780
4.940,10.000,9.214,7.856,0.786
4.950,10.000,9.264,7.359,0.736
4.960,10.000,9.246,7.538,0.754
4.970,10.000,9.193,8.070,0.807
4.980,10.000,9.280,7.197,0.720
4.990,10.000,9.204,7.964,0.796
5.000,10.000,9.235,7.655,0.765
5.010,10.000,9.259,7.413,0.741
5.020,10.000,9.249,7.511,0.751
5.030,10.000,9.259,7.408,0.741
5.040,10.000,9.237,7.625,0.763
5.050,10.000,9.255,7.454,0.745
5.060,10.000,9.225,7.746,0.775
5.070,10.000,9.236,7.641,0.764
5.080,10.000,9.227,7.726,0.773
5.090,10.000,9.268,7.320,0.732
5.100,10.000,9.250,7.501,0.750
5.110,10.000,9.173,8.272,0.827
5.120,10.000,9.239,7.612,0.761
5.130,10.000,9.243,7.565,0.757
5.140,10.000,9.188,8.122,0.812
5.150,10.000,9.233,7.669,0.767
5.160,10.000,9.254,7.461,0.746
5.170,10.000,9.176,8.244,0.824
5.180,10.000,9.255,7.453,0.745
5.190,10.000,9.236,7.638,0.764
5.200,10.000,9.212,7.881,0.788
5.210,10.000,9.181,8.192,0.819
5.220,10.000,9.276,7.238,0.724
5.230,10.000,9.273,7.272,0.727
5.240,10.000,9.218,7.819,0.782
5.250,10.000,9.205,7.953,0.795
5.260,10.000,9.254,7.456,0.746
